//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
//Dのうち使った点
x,y,z
182,153,-12
180,148,-112
182,252,-112
281,146,-112
//回転R
0.999356,0.00696736,-0.0352123
-0.0348934,-0.0415559,-0.998527
-0.00842038,0.999112,-0.041286
//並進q_T
x,y,z
252.873,869.88,-137.921
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-98.3344,-42.6414,772.445,130,90,-212,2.89486,-13.776,-0.41205,
-97.6156,-44.7169,723.607,130,143,-212,0.471191,-9.60371,-0.348691,
-97.536,-47.1751,674.867,131,195,-212,-0.307423,-6.37136,0.095737,
-96.8472,-49.3941,626.461,132,247,-212,-1.68487,-2.77419,0.320097,
-48.7231,-42.5168,822.365,179,38,-212,4.07239,-14.1936,1.94225,
-48.1281,-44.919,773.063,179,90,-212,1.75844,-11.5024,2.31179,
-47.7556,-47.0425,724.639,181,142,-212,1.69589,-7.92989,2.43736,
-47.3515,-49.3732,675.898,181,195,-212,-0.407975,-3.6819,2.75706,
-46.9799,-51.2792,626.536,182,247,-212,-1.5042,-1.03731,2.62655,
1.59758,-42.079,821.407,229,36,-212,3.74737,-15.3761,1.88893,
2.00424,-44.2921,771.808,230,89,-212,2.60988,-11.9803,2.05579,
2.54166,-46.9232,724.235,231,142,-212,1.41598,-6.57386,2.72493,
2.99707,-49.2685,675.7,232,194,-212,0.268186,-3.11866,3.06824,
1.88833,-47.3019,626.493,233,247,-212,0.629811,0.789715,-0.937559,
52.1666,-41.606,821.38,280,37,-212,4.20667,-12.6193,1.84105,
52.796,-43.909,772.654,280,88,-212,1.87799,-10.3474,2.13565,
53.3075,-46.2948,724.511,281,141,-212,0.688168,-5.50034,2.53602,
53.4827,-48.6187,676.068,282,194,-212,-0.176522,-0.962764,2.85926,
54.5887,-50.6262,627.292,283,247,-212,-1.98533,3.28844,2.86053,
//最小化された2乗誤差
58.8338
